Name,Author,Genre,Length,status,Language,Origin,Date Finished,Date started,notes
Reality Transurfing,Vadim Zeland,👻 Metaphysical,669,2. paused,EN,ebook,,"July 22, 2020",Can’t find the other half
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,⏳ Historical Fiction,468,2. paused,EN,library,,"September 27, 2020",not sure why I stopped
,,,,,,,,,
The Girl Who Fell Beneath the Sea,Axie Oh,"♥ Romance, 🔮 Fantasy",336,5. finished,EN,audiobook,"March 21, 2022","March 16, 2022",
The Invisible Life of Addie LaRue,V.E. Schwab,🦄 Magical realism,560,5. finished,EN,library,"March 28, 2022","March 13, 2022",
The Starless Sea,Erin Morgenstern,"🔮 Fantasy, 🦄 Magical realism",498,5. finished,EN,audiobook,"April 1, 2022","March 26, 2022",NTF
Cloud Cuckoo Land,Anthony Doerr,"⏳ Historical Fiction, 👽 SciFi",626,5. finished,EN,library,"April 3, 2022","March 29, 2022",
The Long War,"Terry Pratchett ",👽 SciFi,419,5. finished,EN,audiobook,"April 15, 2022","April 2, 2022",interesting but plotless...
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,♥ Romance,389,5. finished,EN,library,"April 9, 2022","April 7, 2022","What a sad ending, yet beautiful, to be the last. To spear your loved ones from your absence."
Project Hail Mary,Andy Weir,👽 SciFi,476,5. finished,EN,library,"April 16, 2022","April 10, 2022",Love love love the characters soooo much! ALL!
Dear Emmi Blue,Lia Louis,♥ Romance,322,5. finished,EN,library,"April 19, 2022","April 18, 2022",my heart went puff with this book 🥰
Love Lettering,Kate Clayborn,♥ Romance,307,5. finished,EN,library,"April 23, 2022","April 22, 2022","Too much text about her feelings. It was well done, but not what I like."
Zin,Jackie van Laren,♥ Romance,352,5. finished,NL,library,"May 5, 2022","April 23, 2022",last 4th of the book got repetitive. the rest highly entertaining.
Eyes of the Void,Adrian Tchaikovsky,👽 SciFi,592,3. to read,EN,to find,,,release May 3 2022
https://www.goodreads.com/book/show/55987334-four-treasures-of-the-sky,Jenny Tinghui Zhang,⏳ Historical Fiction,336,3. to read,EN,to find,,,
https://www.goodreads.com/book/show/56614597-gilded,Marissa Meyer,🔮 Fantasy,502,3. to read,EN,to find,,,
A House Between Earth and the Moon,Rebecca Scherm,👽 SciFi,396,3. to read,EN,to find,,,
The No-Show,Beth O'Leary,♥ Romance,352,3. to read,EN,to find,,,
The Note,Zoë Folbigg,♥ Romance,458,5. finished,EN,library,"May 16, 2022","May 15, 2022",
Pachinko,Lee Min-jin,⏳ Historical Fiction,537,5. finished,EN,owned,"June 30, 2022","June 21, 2022","I enjoyed it, except the last chapters… they were dry."
World Engines: Destroyer,Stephen Baxter,👽 SciFi,576,5. finished,EN,ebook,"August 1, 2022","July 19, 2022",
"Eyes of the Void
https://www.goodreads.com/series/305076-the-final-architecture2)",Adrian Tchaikovsky,👽 SciFi,609,1. reading,EN,ebook,,"January 2, 2022",
Children of Memory(Children of Time #3),Adrian Tchaikovsky,👽 SciFi,480,5. finished,EN,ebook,"June 1, 2023","January 1, 2023",The way the character was as confused as I was until the end where it makes sense and it was all on purpose. MindBlown
"A Cat Cafe Christmas ",Codi Gary,♥ Romance,375,5. finished,EN,ebook,"July 4, 2023","June 21, 2023",Sweet. Made me want cats but I'm allergic 😔
